Ticker,Share,Update,Date
SCD,8477640.0,2016-03-31,2016Q1
SC5,14983499.0,2016-03-31,2016Q1
SBT,182373518.0,2016-03-31,2016Q1
SAV,10141740.0,2016-03-31,2016Q1
SAM,180235336.0,2016-03-31,2016Q1
SAF,5909262.0,2016-03-31,2016Q1
RIC,70368754.0,2016-03-31,2016Q1
RHC,5120000.0,2016-03-31,2016Q1
REE,269614063.0,2016-03-31,2016Q1
RAL,11500000.0,2016-03-31,2016Q1
PVT,255857542.0,2016-03-31,2016Q1
PVD,348050259.0,2016-03-31,2016Q1
PPC,318154614.0,2016-03-31,2016Q1
PNC,10799351.0,2016-03-31,2016Q1
PMS,7227662.0,2016-03-31,2016Q1
PJT,10817238.0,2016-03-31,2016Q1
PIT,14210225.0,2016-03-31,2016Q1
PGC,60339285.0,2016-03-31,2016Q1
PET,84600124.0,2016-03-31,2016Q1
PAC,30618481.0,2016-03-31,2016Q1
NTL,60989950.0,2016-03-31,2016Q1
NSC,15288378.0,2016-03-31,2016Q1
NKD,15122638.0,2016-03-31,2016Q1
NHC,3041542.0,2016-03-31,2016Q1
NAV,7999981.0,2016-03-31,2016Q1
MPC,68462850.0,2016-03-31,2016Q1
MHC,27110788.0,2016-03-31,2016Q1
MCV,12092161.0,2016-03-31,2016Q1
MCP,15052615.0,2016-03-31,2016Q1
LSS,70000000.0,2016-03-31,2016Q1
LGC,192854765.0,2016-03-31,2016Q1
LBM,8157500.0,2016-03-31,2016Q1
LAF,14728019.0,2016-03-31,2016Q1
L10,8900000.0,2016-03-31,2016Q1
KMR,48877807.0,2016-03-31,2016Q1
KHP,40051296.0,2016-03-31,2016Q1
KHA,12768439.0,2016-03-31,2016Q1
KDC,205661141.0,2016-03-31,2016Q1
ITA,838282817.0,2016-03-31,2016Q1
IMP,28942646.0,2016-03-31,2016Q1
IFS,29140984.0,2016-03-31,2016Q1
ICF,12807000.0,2016-03-31,2016Q1
HTV,13104000.0,2016-03-31,2016Q1
HT1,317952000.0,2016-03-31,2016Q1
HSI,9885590.0,2016-03-31,2016Q1
HRC,24165366.0,2016-03-31,2016Q1
HPG,732880219.0,2016-03-31,2016Q1
HMC,21000000.0,2016-03-31,2016Q1
HDC,41111076.0,2016-03-31,2016Q1
HBD,1428300.0,2016-03-31,2016Q1
HBC,75559837.0,2016-03-31,2016Q1
HAX,11116169.0,2016-03-31,2016Q1
HAS,7800000.0,2016-03-31,2016Q1
HAP,51364766.0,2016-03-31,2016Q1
GTA,9830000.0,2016-03-31,2016Q1
GMD,119621994.0,2016-03-31,2016Q1
GMC,11641070.0,2016-03-31,2016Q1
GIL,13904588.0,2016-03-31,2016Q1
FPT,397449264.0,2016-03-31,2016Q1
FPC,32999991.0,2016-03-31,2016Q1
FMC,30000000.0,2016-03-31,2016Q1
FBT,11265000.0,2016-03-31,2016Q1
DXV,9900000.0,2016-03-31,2016Q1
DXP,7874972.0,2016-03-31,2016Q1
DTT,8151820.0,2016-03-31,2016Q1
DRC,91380003.0,2016-03-31,2016Q1
DQC,29015942.0,2016-03-31,2016Q1
DPR,40124790.0,2016-03-31,2016Q1
DPM,391334260.0,2016-03-31,2016Q1
DPC,2237280.0,2016-03-31,2016Q1
DNP,13507131.0,2016-03-31,2016Q1
DMC,26713797.0,2016-03-31,2016Q1
DIC,26585840.0,2016-03-31,2016Q1
DHG,86941950.0,2016-03-31,2016Q1
DHA,15061213.0,2016-03-31,2016Q1
DDM,12244495.0,2016-03-31,2016Q1
DCT,27223647.0,2016-03-31,2016Q1
DCC,10300000.0,2016-03-31,2016Q1
CYC,9046425.0,2016-03-31,2016Q1
COM,14120628.0,2016-03-31,2016Q1
CNT,9915069.0,2016-03-31,2016Q1
CLC,13103830.0,2016-03-31,2016Q1
CII,250344407.0,2016-03-31,2016Q1
