Ticker,shortname,Sàn NY,Level1,Level2,Level3,Level4,Số CP niêm yết,Số CP lưu hành,Số CP lưu hành BQ hiện tại,Free Fload,Giá đóng cửa,Vốn hóa,KLTB 30 ngày,KLTB 30 ngày/Số CPLH,KLTB 90 ngày,KLTB 90 ngày/Số CPLH,KLTB 180 ngày,KLTB 180 ngày/Số CPLH bình quân hiện tại,GTTB 30 ngày,GTTB 90 ngày,GTTB 180 ngày,Lãi gộp/Doanh thu,LN ròng/Doanh thu,LN ròng/Doanh thu1,ROE,ROA,khả năng thanh toán ngắn hạn,Tổng công nợ/Vốn CSH,tỷ lệ dòng tền trước thuế và thu nhập/thu nhập trước lãi và thuế,EV/EBITDA,EPS,BV,P/E,P/B,updatedate
AAA,Công ty Cổ phần Nhựa An Phát Xanh,HOSE,Nguyên vật liệu,Hóa chất,Hóa chất,"Nhựa, cao su & sợi",171199976,171199976,171199976.0,94159986,10350,,1800293.5,0.010515734534916,1891996.16666666,0.0110513810274521,2131538.75,0.0124505785561558,19920939000,22461639666.6666,28855014083.3333,,,,,,,,,,1197.0,19619.6205569444,1900-01-08 17:27:09.362000,0.527533138062477,2020-03-26 00:00:00
AAM,Công ty Cổ Phần Thủy Sản Mê Kông,HOSE,Hàng Tiêu dùng,Thực phẩm và đồ uống,Sản xuất thực phẩm,Nuôi trồng nông & hải sản,12346411,10451182,10447192.6,10451182,10650,,2434.5,0.000232940159304469,1400.16666666666,0.000133972087240148,1183.83333333333,0.000113315928848993,27482500,15986833.3333333,13577070.8333333,,,,,,,,,,894.0,20366.2479207555,1900-01-15 03:39:17.219000,0.522924008459428,2020-03-26 00:00:00
AAT,Công ty Cổ phần Tiên Sơn Thanh Hóa,HOSE,Hàng Tiêu dùng,Hàng cá nhân & Gia dụng,Hàng cá nhân,Hàng May mặc,0,34800000,34800000.0,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,,,,,,,,,,666.0,10634.912894885,1899-12-24 00:00:00,0.0,2020-03-26 00:00:00
ABS,Công ty Cổ phần Dịch vụ Nông nghiệp Bình Thuận,HOSE,Dịch vụ Tiêu dùng,Bán lẻ,Bán lẻ,Phân phối hàng chuyên dụng,28800000,28800000,28800000.0,15769150,19300,,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,,,,,,,,,,0.0,,1899-12-24 00:00:00,0.0,2020-03-26 00:00:00
ABT,Công ty Cổ phần Xuất nhập khẩu Thủy sản Bến Tre,HOSE,Hàng Tiêu dùng,Thực phẩm và đồ uống,Sản xuất thực phẩm,Nuôi trồng nông & hải sản,14107207,11497257,8887307.0,1264698,32000,,1932.5,0.000168083569846268,764.333333333333,6.64796249517022e-05,508.916666666666,5.726331572282429e-05,63230500,25211166.6666666,16992166.666666597,,,,,,,,,,6319.0,29467.8262021674,1900-01-05 19:47:17.011000,1.08593011851163,2020-03-26 00:00:00
ACC,Công ty Cổ phần Đầu tư và Xây dựng Bình Dương ACC,HOSE,Công nghiệp,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Vật liệu xây dựng & Nội thất,10000000,10000000,10000000.0,3000000,19250,,1326.0,0.0001326,1370.16666666666,0.000137016666666666,1274.41666666666,0.000127441666666666,24077500,25671500.0,23973904.1666666,,,,,,,,,,3796.0,19999.7518023,1900-01-05 01:42:39.530000,0.9625119446625441,2020-03-26 00:00:00
ACL,Công ty Cổ phần Xuất nhập khẩu Thủy sản Cửu Long An Giang,HOSE,Hàng Tiêu dùng,Thực phẩm và đồ uống,Sản xuất thực phẩm,Nuôi trồng nông & hải sản,22799675,22799675,22799675.0,5699918,17500,,12863.5,0.0005641966387678769,11865.333333333301,0.000520416774946718,15508.5,0.000680207064355084,234947500,238809333.33333302,366205162.5,,,,,,,,,,669.0,15238.7742049791,1900-01-26 03:39:30.489000,1.14838633111854,2020-03-26 00:00:00
ADS,Công ty Cổ phần DAMSAN,HOSE,Hàng Tiêu dùng,Hàng cá nhân & Gia dụng,Hàng cá nhân,Hàng May mặc,25517801,25517801,25517801.0,10207120,10950,,2947.0,0.00011548800776367801,3022.5,0.000118446726659558,4574.416666666661,0.000179263748732371,30573500,32773166.6666666,49062637.5,,,,,,,,,,1951.0,16670.5337064548,1900-01-05 14:42:58.932000,0.6568475966525389,2020-03-26 00:00:00
AGG,Công ty Cổ phần Đầu tư và Phát triển Bất động sản An Gia,HOSE,Tài chính,Bất động sản,Bất động sản,Bất động sản,75000000,75000000,70954166.66666658,37765734,27200,,190469.5,0.0025395933333333303,0.0,0.0,0.0,0.0,5138658000,0.0,0.0,,,,,,,,,,0.0,,1899-12-24 00:00:00,0.0,2020-03-26 00:00:00
AGM,Công ty Cổ phần Xuất nhập khẩu An Giang,HOSE,Hàng Tiêu dùng,Thực phẩm và đồ uống,Sản xuất thực phẩm,Thực phẩm,18200000,18200000,18200000.0,3640000,10000,,2772.5,0.000152335164835164,2147.8333333333303,0.00011801282051282,2710.16666666666,0.000148910256410256,27191500,21291500.0,27162837.5,,,,,,,,,,285.0,18999.1374168131,1900-02-04 02:13:02.256000,0.526339684829615,2020-03-26 00:00:00
